Team;Round;Question;Point
In MUST We Trust;durante_Ling 101 round;1;1
In MUST We Trust;durante_Ling 101 round;2;0
In MUST We Trust;durante_Ling 101 round;3;1
In MUST We Trust;durante_Ling 101 round;4;1
In MUST We Trust;durante_Ling 101 round;5;1
In MUST We Trust;durante_Ling 101 round;6;0
In MUST We Trust;durante_Ling 101 round;7;1
In MUST We Trust;durante_Ling 101 round;8;1
In MUST We Trust;durante_Ling 101 round;9;1
In MUST We Trust;durante_Ling 101 round;10;1
Kaminsky Kanpai;durante_Ling 101 round;1;1
Kaminsky Kanpai;durante_Ling 101 round;2;0
Kaminsky Kanpai;durante_Ling 101 round;3;0
Kaminsky Kanpai;durante_Ling 101 round;4;1
Kaminsky Kanpai;durante_Ling 101 round;5;1
Kaminsky Kanpai;durante_Ling 101 round;6;1
Kaminsky Kanpai;durante_Ling 101 round;7;1
Kaminsky Kanpai;durante_Ling 101 round;8;1
Kaminsky Kanpai;durante_Ling 101 round;9;1
Kaminsky Kanpai;durante_Ling 101 round;10;1
The variation constellation;durante_Ling 101 round;1;1
The variation constellation;durante_Ling 101 round;2;1
The variation constellation;durante_Ling 101 round;3;1
The variation constellation;durante_Ling 101 round;4;1
The variation constellation;durante_Ling 101 round;5;1
The variation constellation;durante_Ling 101 round;6;1
The variation constellation;durante_Ling 101 round;7;0
The variation constellation;durante_Ling 101 round;8;1
The variation constellation;durante_Ling 101 round;9;1
The variation constellation;durante_Ling 101 round;10;1
The Long Lunch Committee;durante_Ling 101 round;1;1
The Long Lunch Committee;durante_Ling 101 round;2;1
The Long Lunch Committee;durante_Ling 101 round;3;1
The Long Lunch Committee;durante_Ling 101 round;4;0
The Long Lunch Committee;durante_Ling 101 round;5;0
The Long Lunch Committee;durante_Ling 101 round;6;1
The Long Lunch Committee;durante_Ling 101 round;7;1
The Long Lunch Committee;durante_Ling 101 round;8;1
The Long Lunch Committee;durante_Ling 101 round;9;0
The Long Lunch Committee;durante_Ling 101 round;10;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;1;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;2;0
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;3;0
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;4;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;5;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;6;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;7;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;8;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;9;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;10;1
Die van Campus Brussel;durante_Ling 101 round;1;1
Die van Campus Brussel;durante_Ling 101 round;2;1
Die van Campus Brussel;durante_Ling 101 round;3;0
Die van Campus Brussel;durante_Ling 101 round;4;1
Die van Campus Brussel;durante_Ling 101 round;5;0
Die van Campus Brussel;durante_Ling 101 round;6;1
Die van Campus Brussel;durante_Ling 101 round;7;1
Die van Campus Brussel;durante_Ling 101 round;8;1
Die van Campus Brussel;durante_Ling 101 round;9;1
Die van Campus Brussel;durante_Ling 101 round;10;1
Error 404;durante_Ling 101 round;1;1
Error 404;durante_Ling 101 round;2;1
Error 404;durante_Ling 101 round;3;1
Error 404;durante_Ling 101 round;4;0
Error 404;durante_Ling 101 round;5;1
Error 404;durante_Ling 101 round;6;1
Error 404;durante_Ling 101 round;7;1
Error 404;durante_Ling 101 round;8;0
Error 404;durante_Ling 101 round;9;1
Error 404;durante_Ling 101 round;10;1
In MUST We Trust;Earlier, later, or same day round;1;1
In MUST We Trust;Earlier, later, or same day round;2;1
In MUST We Trust;Earlier, later, or same day round;3;1
In MUST We Trust;Earlier, later, or same day round;4;0
In MUST We Trust;Earlier, later, or same day round;5;1
In MUST We Trust;Earlier, later, or same day round;6;1
In MUST We Trust;Earlier, later, or same day round;7;1
In MUST We Trust;Earlier, later, or same day round;8;1
In MUST We Trust;Earlier, later, or same day round;9;0
In MUST We Trust;Earlier, later, or same day round;10;0
Kaminsky Kanpai;Earlier, later, or same day round;1;1
Kaminsky Kanpai;Earlier, later, or same day round;2;1
Kaminsky Kanpai;Earlier, later, or same day round;3;1
Kaminsky Kanpai;Earlier, later, or same day round;4;0
Kaminsky Kanpai;Earlier, later, or same day round;5;1
Kaminsky Kanpai;Earlier, later, or same day round;6;1
Kaminsky Kanpai;Earlier, later, or same day round;7;1
Kaminsky Kanpai;Earlier, later, or same day round;8;1
Kaminsky Kanpai;Earlier, later, or same day round;9;1
Kaminsky Kanpai;Earlier, later, or same day round;10;1
The variation constellation;Earlier, later, or same day round;1;1
The variation constellation;Earlier, later, or same day round;2;1
The variation constellation;Earlier, later, or same day round;3;1
The variation constellation;Earlier, later, or same day round;4;0
The variation constellation;Earlier, later, or same day round;5;1
The variation constellation;Earlier, later, or same day round;6;0
The variation constellation;Earlier, later, or same day round;7;1
The variation constellation;Earlier, later, or same day round;8;1
The variation constellation;Earlier, later, or same day round;9;0
The variation constellation;Earlier, later, or same day round;10;1
The Long Lunch Committee;Earlier, later, or same day round;1;1
The Long Lunch Committee;Earlier, later, or same day round;2;1
The Long Lunch Committee;Earlier, later, or same day round;3;1
The Long Lunch Committee;Earlier, later, or same day round;4;0
The Long Lunch Committee;Earlier, later, or same day round;5;1
The Long Lunch Committee;Earlier, later, or same day round;6;0
The Long Lunch Committee;Earlier, later, or same day round;7;1
The Long Lunch Committee;Earlier, later, or same day round;8;1
The Long Lunch Committee;Earlier, later, or same day round;9;0
The Long Lunch Committee;Earlier, later, or same day round;10;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;1;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;2;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;3;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;4;0
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;5;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;6;0
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;7;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;8;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;9;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;10;1
Die van Campus Brussel;Earlier, later, or same day round;1;1
Die van Campus Brussel;Earlier, later, or same day round;2;1
Die van Campus Brussel;Earlier, later, or same day round;3;0
Die van Campus Brussel;Earlier, later, or same day round;4;0
Die van Campus Brussel;Earlier, later, or same day round;5;1
Die van Campus Brussel;Earlier, later, or same day round;6;1
Die van Campus Brussel;Earlier, later, or same day round;7;1
Die van Campus Brussel;Earlier, later, or same day round;8;0
Die van Campus Brussel;Earlier, later, or same day round;9;1
Die van Campus Brussel;Earlier, later, or same day round;10;1
Error 404;Earlier, later, or same day round;1;1
Error 404;Earlier, later, or same day round;2;1
Error 404;Earlier, later, or same day round;3;1
Error 404;Earlier, later, or same day round;4;0
Error 404;Earlier, later, or same day round;5;1
Error 404;Earlier, later, or same day round;6;0
Error 404;Earlier, later, or same day round;7;1
Error 404;Earlier, later, or same day round;8;1
Error 404;Earlier, later, or same day round;9;1
Error 404;Earlier, later, or same day round;10;1
In MUST We Trust;Not The Onion round;1;1
In MUST We Trust;Not The Onion round;2;0
In MUST We Trust;Not The Onion round;3;0
In MUST We Trust;Not The Onion round;4;0
In MUST We Trust;Not The Onion round;5;0
In MUST We Trust;Not The Onion round;6;0
In MUST We Trust;Not The Onion round;7;0
In MUST We Trust;Not The Onion round;8;1
In MUST We Trust;Not The Onion round;9;0
In MUST We Trust;Not The Onion round;10;0
Kaminsky Kanpai;Not The Onion round;1;1
Kaminsky Kanpai;Not The Onion round;2;1
Kaminsky Kanpai;Not The Onion round;3;0
Kaminsky Kanpai;Not The Onion round;4;1
Kaminsky Kanpai;Not The Onion round;5;0
Kaminsky Kanpai;Not The Onion round;6;1
Kaminsky Kanpai;Not The Onion round;7;0
Kaminsky Kanpai;Not The Onion round;8;0
Kaminsky Kanpai;Not The Onion round;9;1
Kaminsky Kanpai;Not The Onion round;10;0
The variation constellation;Not The Onion round;1;1
The variation constellation;Not The Onion round;2;0
The variation constellation;Not The Onion round;3;0
The variation constellation;Not The Onion round;4;1
The variation constellation;Not The Onion round;5;0
The variation constellation;Not The Onion round;6;1
The variation constellation;Not The Onion round;7;1
The variation constellation;Not The Onion round;8;1
The variation constellation;Not The Onion round;9;1
The variation constellation;Not The Onion round;10;1
The Long Lunch Committee;Not The Onion round;1;1
The Long Lunch Committee;Not The Onion round;2;0
The Long Lunch Committee;Not The Onion round;3;0
The Long Lunch Committee;Not The Onion round;4;1
The Long Lunch Committee;Not The Onion round;5;0
The Long Lunch Committee;Not The Onion round;6;0
The Long Lunch Committee;Not The Onion round;7;1
The Long Lunch Committee;Not The Onion round;8;1
The Long Lunch Committee;Not The Onion round;9;1
The Long Lunch Committee;Not The Onion round;10;1
Vettige Sjwa en de diminutiefjes;Not The Onion round;1;1
Vettige Sjwa en de diminutiefjes;Not The Onion round;2;0
Vettige Sjwa en de diminutiefjes;Not The Onion round;3;0
Vettige Sjwa en de diminutiefjes;Not The Onion round;4;1
Vettige Sjwa en de diminutiefjes;Not The Onion round;5;1
Vettige Sjwa en de diminutiefjes;Not The Onion round;6;1
Vettige Sjwa en de diminutiefjes;Not The Onion round;7;0
Vettige Sjwa en de diminutiefjes;Not The Onion round;8;1
Vettige Sjwa en de diminutiefjes;Not The Onion round;9;1
Vettige Sjwa en de diminutiefjes;Not The Onion round;10;0
Die van Campus Brussel;Not The Onion round;1;1
Die van Campus Brussel;Not The Onion round;2;1
Die van Campus Brussel;Not The Onion round;3;0
Die van Campus Brussel;Not The Onion round;4;1
Die van Campus Brussel;Not The Onion round;5;1
Die van Campus Brussel;Not The Onion round;6;1
Die van Campus Brussel;Not The Onion round;7;1
Die van Campus Brussel;Not The Onion round;8;0
Die van Campus Brussel;Not The Onion round;9;0
Die van Campus Brussel;Not The Onion round;10;0
Error 404;Not The Onion round;1;1
Error 404;Not The Onion round;2;0
Error 404;Not The Onion round;3;0
Error 404;Not The Onion round;4;1
Error 404;Not The Onion round;5;0
Error 404;Not The Onion round;6;1
Error 404;Not The Onion round;7;1
Error 404;Not The Onion round;8;0
Error 404;Not The Onion round;9;0
Error 404;Not The Onion round;10;1
In MUST We Trust;Common thread round;1;1
In MUST We Trust;Common thread round;2;1
In MUST We Trust;Common thread round;3;1
In MUST We Trust;Common thread round;4;1
In MUST We Trust;Common thread round;5;0
In MUST We Trust;Common thread round;6;1
In MUST We Trust;Common thread round;7;1
In MUST We Trust;Common thread round;8;1
In MUST We Trust;Common thread round;9;0
In MUST We Trust;Common thread round;10;1
Kaminsky Kanpai;Common thread round;1;1
Kaminsky Kanpai;Common thread round;2;0
Kaminsky Kanpai;Common thread round;3;1
Kaminsky Kanpai;Common thread round;4;1
Kaminsky Kanpai;Common thread round;5;0
Kaminsky Kanpai;Common thread round;6;1
Kaminsky Kanpai;Common thread round;7;1
Kaminsky Kanpai;Common thread round;8;1
Kaminsky Kanpai;Common thread round;9;1
Kaminsky Kanpai;Common thread round;10;1
The variation constellation;Common thread round;1;1
The variation constellation;Common thread round;2;1
The variation constellation;Common thread round;3;1
The variation constellation;Common thread round;4;1
The variation constellation;Common thread round;5;0
The variation constellation;Common thread round;6;1
The variation constellation;Common thread round;7;1
The variation constellation;Common thread round;8;1
The variation constellation;Common thread round;9;1
The variation constellation;Common thread round;10;1
The Long Lunch Committee;Common thread round;1;1
The Long Lunch Committee;Common thread round;2;1
The Long Lunch Committee;Common thread round;3;1
The Long Lunch Committee;Common thread round;4;1
The Long Lunch Committee;Common thread round;5;1
The Long Lunch Committee;Common thread round;6;1
The Long Lunch Committee;Common thread round;7;1
The Long Lunch Committee;Common thread round;8;1
The Long Lunch Committee;Common thread round;9;1
The Long Lunch Committee;Common thread round;10;1
Vettige Sjwa en de diminutiefjes;Common thread round;1;1
Vettige Sjwa en de diminutiefjes;Common thread round;2;1
Vettige Sjwa en de diminutiefjes;Common thread round;3;1
Vettige Sjwa en de diminutiefjes;Common thread round;4;1
Vettige Sjwa en de diminutiefjes;Common thread round;5;1
Vettige Sjwa en de diminutiefjes;Common thread round;6;1
Vettige Sjwa en de diminutiefjes;Common thread round;7;1
Vettige Sjwa en de diminutiefjes;Common thread round;8;1
Vettige Sjwa en de diminutiefjes;Common thread round;9;0
Vettige Sjwa en de diminutiefjes;Common thread round;10;1
Die van Campus Brussel;Common thread round;1;0
Die van Campus Brussel;Common thread round;2;0
Die van Campus Brussel;Common thread round;3;1
Die van Campus Brussel;Common thread round;4;1
Die van Campus Brussel;Common thread round;5;0
Die van Campus Brussel;Common thread round;6;0
Die van Campus Brussel;Common thread round;7;1
Die van Campus Brussel;Common thread round;8;1
Die van Campus Brussel;Common thread round;9;0
Die van Campus Brussel;Common thread round;10;0
Error 404;Common thread round;1;1
Error 404;Common thread round;2;1
Error 404;Common thread round;3;1
Error 404;Common thread round;4;1
Error 404;Common thread round;5;0
Error 404;Common thread round;6;0
Error 404;Common thread round;7;1
Error 404;Common thread round;8;0
Error 404;Common thread round;9;1
Error 404;Common thread round;10;1
In MUST We Trust;Music round;1;1
In MUST We Trust;Music round;2;1
In MUST We Trust;Music round;3;1
In MUST We Trust;Music round;4;0
In MUST We Trust;Music round;5;1
In MUST We Trust;Music round;6;1
In MUST We Trust;Music round;7;1
In MUST We Trust;Music round;8;0,5
In MUST We Trust;Music round;9;0
In MUST We Trust;Music round;10;0
Kaminsky Kanpai;Music round;1;1
Kaminsky Kanpai;Music round;2;0,5
Kaminsky Kanpai;Music round;3;1
Kaminsky Kanpai;Music round;4;0
Kaminsky Kanpai;Music round;5;0,5
Kaminsky Kanpai;Music round;6;1
Kaminsky Kanpai;Music round;7;1
Kaminsky Kanpai;Music round;8;1
Kaminsky Kanpai;Music round;9;1
Kaminsky Kanpai;Music round;10;0
The variation constellation;Music round;1;1
The variation constellation;Music round;2;1
The variation constellation;Music round;3;0
The variation constellation;Music round;4;0
The variation constellation;Music round;5;1
The variation constellation;Music round;6;1
The variation constellation;Music round;7;1
The variation constellation;Music round;8;0,5
The variation constellation;Music round;9;0
The variation constellation;Music round;10;1
The Long Lunch Committee;Music round;1;0,5
The Long Lunch Committee;Music round;2;1
The Long Lunch Committee;Music round;3;1
The Long Lunch Committee;Music round;4;0,5
The Long Lunch Committee;Music round;5;0
The Long Lunch Committee;Music round;6;0,5
The Long Lunch Committee;Music round;7;0
The Long Lunch Committee;Music round;8;0
The Long Lunch Committee;Music round;9;0
The Long Lunch Committee;Music round;10;0
Vettige Sjwa en de diminutiefjes;Music round;1;1
Vettige Sjwa en de diminutiefjes;Music round;2;1
Vettige Sjwa en de diminutiefjes;Music round;3;1
Vettige Sjwa en de diminutiefjes;Music round;4;0
Vettige Sjwa en de diminutiefjes;Music round;5;1
Vettige Sjwa en de diminutiefjes;Music round;6;1
Vettige Sjwa en de diminutiefjes;Music round;7;1
Vettige Sjwa en de diminutiefjes;Music round;8;0,5
Vettige Sjwa en de diminutiefjes;Music round;9;0
Vettige Sjwa en de diminutiefjes;Music round;10;0
Die van Campus Brussel;Music round;1;1
Die van Campus Brussel;Music round;2;1
Die van Campus Brussel;Music round;3;1
Die van Campus Brussel;Music round;4;0,5
Die van Campus Brussel;Music round;5;1
Die van Campus Brussel;Music round;6;1
Die van Campus Brussel;Music round;7;0
Die van Campus Brussel;Music round;8;1
Die van Campus Brussel;Music round;9;0
Die van Campus Brussel;Music round;10;0
Error 404;Music round;1;1
Error 404;Music round;2;1
Error 404;Music round;3;1
Error 404;Music round;4;1
Error 404;Music round;5;1
Error 404;Music round;6;1
Error 404;Music round;7;1
Error 404;Music round;8;1
Error 404;Music round;9;1
Error 404;Music round;10;0
In MUST We Trust;durante_Faculty of Arts;1;1
In MUST We Trust;durante_Faculty of Arts;2;1
In MUST We Trust;durante_Faculty of Arts;3;1
In MUST We Trust;durante_Faculty of Arts;4;1
In MUST We Trust;durante_Faculty of Arts;5;1
In MUST We Trust;durante_Faculty of Arts;6;0
In MUST We Trust;durante_Faculty of Arts;7;1
In MUST We Trust;durante_Faculty of Arts;8;0
In MUST We Trust;durante_Faculty of Arts;9;0,5
In MUST We Trust;durante_Faculty of Arts;10;0,5
Kaminsky Kanpai;durante_Faculty of Arts;1;1
Kaminsky Kanpai;durante_Faculty of Arts;2;1
Kaminsky Kanpai;durante_Faculty of Arts;3;1
Kaminsky Kanpai;durante_Faculty of Arts;4;1
Kaminsky Kanpai;durante_Faculty of Arts;5;1
Kaminsky Kanpai;durante_Faculty of Arts;6;1
Kaminsky Kanpai;durante_Faculty of Arts;7;1
Kaminsky Kanpai;durante_Faculty of Arts;8;0
